product_id,product_name,tags
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",wayona nylon braid usb lightn fast charg data sync cabl compat iphon 13 12 11 x 8 7 6 5 ipad air pro mini (3 ft pack 1 grey) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹1 099 4.2 24269 high compat : compat iphon 12 11 x/xsmax/xr iphon 8/8 plu iphon 7/7 plu iphon 6s/6 plu iphon 6/6 plu iphon 5/5s/5c/se ipad pro ipad air 1/2 ipad mini 1/2/3 ipod nano7 ipod touch appl devices.|fast charge&data sync : charg sync simultan rapid speed compat charg adaptor multi-port charg station power bank.|dur : durabl nylon braid design premium aluminum hous toughen nylon fiber wound tightli around cord lend superior durabl ad bit flexibility.|high secur level : design fulli protect devic damag excess current.copp core thick+multilay shield anti-interfer protect circuit equipment.|warranty: 12 month warranti friendli custom servic ensur long-tim enjoy purchase. meet question problem pleas hesit contact us. satisfi charg realli fast valu money product review good qualiti good product good product seem good look durabl charg fine toono complain charg realli fast good product. till satisfi quality. good product . charg speed slower origin iphon cabl good qualiti would recommend product work well till date issue.c also sturdi enough...hav ask replac compani same... valu money
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",ambran unbreak 60w / 3a fast charg 1.5m braid type c cabl smartphon tablet laptop & type c devic pd technolog 480mbp data sync quick charg 3.0 (rct15a black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹349 4.0 43994 compat type c enabl devic android smartphon (mi samsung oppo vivo realm oneplu etc) tablet laptop (macbook chromebook etc)|support quick charg (2.0/3.0)|unbreak – made special braid outer rug interior bind ultra-dur cabl won’t affect daili rough usage|id length – ideal length 1.5 meter neither short like typic 1meter cabl long like 2meter cable|support maximum 3a fast charg 480 mbp data transfer speed|6 month manufactur warranti date purchas good braid cabl type c devic good qualiti product ambran super cabl good qualiti good product good good qualiti price one issu unit order cabl connect phone android auto car. cabl realli strong connect port realli well made. alreadi micro usb cabl ambran still good shape. connect phone car use cabl got connect well issues. also connect charg port ye fast charg support. qualiti good price main thing ever thought cabl long good one charg power good also support fast charg valu money extra length👍 good work fine product qualiti good good good bought daughter' old phone.brand new cabl charg alreadi repack request replacement.i check green colour paste/fungu insid micro usb connector. clean alcohol start work again.check amper charg speed got around 1400ma-1500ma - bad came braid 1.5m long cabl pretti impress price.can't blame manufacturer.but qualiti issu distributor might store humid place.
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",sounc fast phone charg cabl & data sync usb cabl compat iphon 13 12 11 x 8 7 6 5 ipad air pro mini & io devic computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹1 899 3.9 7928 【 fast charger& data sync】-with built-in safeti proctect four-cor copper wire promot maximum signal qualiti strength enhanc charg & data transfer speed 480 mb/ transfer speed.|【 compatibility】-compat iphon 13 12 11 x 8 7 6 5 ipad air pro mini & io devices.|【 sturdi & durable】-th jacket enforc connector made tpe premium copper resist repeatedli bend coiling.|【 ultra high quality】: accord experiment result fishbon design accept least 20 000 bend insert test extra protect durability. upgrad 3d aluminum connector exclus laser weld technolog ensur metal part break also tighter connect fit well even protect case never loos connection.|【 good sale service】-our friendli reliabl custom servic respond within 24 hour ! purchas confid everi sale includ 365-day worry-fre servic prove import set quality. good speed earlier version good product work good good price good worth money work nice realli nice product quit durabl sturdi work good product nice product work well realli nice product
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",boat deuc usb 300 2 1 type-c & micro usb stress resist tangle-fre sturdi cabl 3a fast charg & 480mbp data transmiss 10000+ bend lifespan extend 1.5m length(martian red) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹699 4.2 94363 boat deuc usb 300 2 1 cabl compat smartphon tablet pc peripher bluetooth speaker power bank devic type-c well micro usb port|it ensur 3a fast charg data transmiss rapid sync 480 mbps|the premium nylon braid skin make sturdi invinc extern damage|it aluminium alloy shell hous make last longer 10000+ bend lifespan extend frame protect strain relief|th resili flexibl design offer tangl free experi seamlessly|deuc usb 300 cabl offer perfect 1.5 meter length smooth & hassle-fre user experience|2 year warranti date purchas good product good one nice realli nice product first time chang good fine product could better nice charg like jet good product long wire charg good nice bought cabl rs.339 worthi product price test variou charger adapt 33w 18w support fast charg well. good ok got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day only. like product
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",portron konnect l 1.2m fast charg 3a 8 pin usb cabl charg & sync function iphon ipad (grey) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹399 4.2 16905 [charg & sync function]- cabl come charg & data sync function|[high qualiti material]- tpe + nylon materi make sure life cabl enhanc significantly|[long cord]- cabl extra thick 1.2 meter long optim easi use comfort home office|[mor durable]-thi cabl uniqu interm design multi-us posit provid best comfort perform using|[univers compatibility]- compat devic like iphon xs x xr 8 7 6s 6 5s ipad pro ipad mini ipad air good origin decent good one secondari use best qualiti good amaz product mind blow price! nice qualiti good product bought instead origin appl work 150r fast appl charger good option want cheap good product bought ipad pro 10.5 work flawlessli build qualiti ok like gonna hang cloth want strong cabl even braid cabl stop work year use anker appl store strong braid cabl stop work year pleas buy high end cabl instead choos one even stop work with year loos 150r compar 2000rs.update------------------------------------pin stop charg one side slip pin charg side updat let know long work it’ good. sure durabl pin area feel bit fragil support appl carplayso littl disappoint thatoth cabl made good qualiti best buy 100% fath write review post 10 month 3 order product.honestli portron konnect l lightn cabl work like magic origin appl charg brick.se price cabl initi hesit buy low ₹99/- offer wasn’t sure would work well iphon 12 whether would impact iphone’ batteri health lightn cabl brand cost ₹350/- like wayona amazon basic etc.earli use wayona brand lightn cabl eventu fray stop working.charg speed:charg iphon fast enough almost similar compar origin cabl level use 12w origin appl power adapter.qu durability:great qualiti braid cabl doesn’t tangl easili withstand day-to-day usage.l-shap pin:thi innov portron make sure cabl doesn’t get damag even use charging.carplay data sync:work smoothli carplay sync data effortlessly.ps: use cabl origin appl charg brick extrem satisfi performance. better expect product like qualiti plan buy type cabl come usb c light cabl emerg purpos much love cable. buy cabl emerg use sinc good one good product valu money
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",ptron solero tb301 3a type-c data fast charg cabl made india 480mbp data sync strong durabl 1.5-meter nylon braid usb cabl type-c devic charg adapt (black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹1 000 3.9 24871 fast charg & data sync: solero tb301 type-c cabl support fast charg 5v/3a devic data sync speed 480mbps.|univers compatibility: usb charg cabl connect usb type-c devic standard usb devic like laptop hard drive power bank wall car charger etc..connector one: revers type c|connector two: usb type|rough & tough type-c cable: charg cabl double-braid exterior premium aramid fiber core metal plugs. pass 10 000 bend test easili withstand daili use.|extend length: 1.5-meter long c-type cabl use nylon materi protect wire avoid knots.|perfect fit connectors: ptron soler usb-c pass 5kg load test swing test 5000+ time connect & disconnect ensur loos connections. pretti good averag qualiti good use usb cabl good usb cable. experi good long last good nice product use - sturdi support 33w charg good product. like good item strong use usb cablevalu moneythank amazon produc good nice product use product - sturdi support 33w charg
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",boat micro usb 55 tangle-fre sturdi micro usb cabl 3a fast charg & 480mbp data transmiss (black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹499 4.1 15188 ensur high speed transmiss charg offer 3a fast charg data transmiss rapid sync 480 mbps|the braid skin make durabl invinc extern damag absolut hassle-fre & tangl free experience|it durabl pvc hous flexibl design make last 6 time longer cables|usb cabl offer perfect 1.5 meter length smooth & hassle-fre user experi superior charg & data transfer tasks|th compact smooth aluminium connector fit case seamlessli resist corros signal purity|micro usb 55 cabl offer univers compat compat android smartphon tablet pc peripher bluetooth speaker power bank game consol & micro-usb enabl devices|2 year warranti date purchas long durable. good charg lenovo m8 tab best charg cabl good boat product good 1.5 का केबल मेरे लिए बहुत ही लाभदायक है । build qualiti good come 2 year warranty. good product bought charg mobil & tab work lenovo m8 tab guy cabl best compar everyon heat protect quickli charg chanc shock circuit good nice good qualiti 1.5एम का डाटा केबल मेरे लिए बहुत ही लाभदायक है । मैं इस केबल को लाइन में चार्ज करते समय फोन बहुत आराम से उपयोग कर पा रहा हु । आप इस केबल से 15watt का चार्जर उसे कर सकते है (इससे जड़ा नही) । लोकल बाजार में इसका दाम 150 है अमेजन पे ये केबल मुझे 67 में मिला । गर्व से कहो हम हिंदू है जय हिंद जय भारत
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),mi usb type-c cabl smartphon (black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹299 4.3 30411 1m long type-c usb cable|sturdi durable. usb cabl transfer data speed upto 480 mbps|upto 3a output|6month warranty|sturdi durable. usb cabl transfer data speed upto 480 mbps|6month warranty|up 3a output worth money - suitabl android auto good product length nice origin good quay cabl support fast charging. origin mi cabl charg upto 33 watt veri happi product provid turbo charging. worth money - suitabl android auto... purpos serv car....got rs.150 everyth okay. packag good feel like seller gave use cable. good product good product cost more. origin cabl bought cabl 129. use cabl android auto car. perfectli work without glitch. origin mi cable. charg upto 33 watts. got rs 150. 67 watt charger want cabl car went it. check perform batteri charg app. charg speed exactli half 67 watt origin cable. go it. provid turbo charging. recommend redmi note 10 mobil phones. provid turbo charging. veri happi product.
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",tp-link usb wifi adapt pc(tl-wn725n) n150 wireless network adapt desktop - nano size wifi dongl compat window 11/10/7/8/8.1/xp/ mac os 10.9-10.15 linux kernel 2.6.18-4.4.3 computers&accessori networkingdevic networkadapt wirelessusbadapt ₹999 4.2 179691 usb wifi adapt —— speedi wireless transmiss 150mbp ideal video stream internet calls|mini design —— sleek miniatur design small plug left laptop’ usb port|advanc secur —— support 64/128 wep wpa pa2/wpa-psk/wpa2-psk(tkip/aes)|compat —— window 11/10/8.1/8/7/xp mac os 10.15 earlier linux|easi setup —— connect time easi setup util 14 languages|in unlik case product qualiti relat issu may ask reach brand’ custom servic support seek resolution. requir brand proof issu process replac request work linux me. get model antenna. say brand avail lesser price easi handl great product perfect work speed perfect great design build connect rang packag featur linux support sinc v2 good use connect old pc internet. tri lubuntu 20 ubuntu 22 work box setup. there' extend cabl place comfort place. get model antenna otherwis rang problem directli line sight wifi router. wifi dongl simpl plug & play devic start catch avail network right plug usb port addit installations/ softwar requires. signal strength good.... wonder would differ adapt lesser known brand avail much competit price henc star less. pros:*easi use & portable*can connect mobil hotspot use pc( budget friendly)*less instal process*no heat issu & good coverage*best altern usb tether (phone' batteri may get damag long term run tethering)cons:*internet connect speed vari time also depend modem cellular connection*issu occur instal via cd avail along product( instal driver download tp-link site)*need reconnect adapt everi time system turn on*wil work softwar issu encount updat system(work me)*support center wors call unattend time visit nearbi storeconclusion:brought @499/-ideal user need high speed internet usag good altern usb tether budge(1080p youtub video easili play without interruptions) wifi connect great good result me. howev jitter problem exist. perfect devic connect wifi. go it. wifi adopt good work (pictur attached)size/design: ★ ★ ★ ★ ★build quality: ★ ★ ★ ★ ★packaging: ★ ★ ★ ★ ★software: ★ ★ ★ ★speed: ★ ★ ★ ★ ★connectivity: ★ ★ ★ ★ ★experience: ★ ★ ★ ★ ★warranty: ★ ★ ★ ★ ★size design:th best part compact size sober eleg design. big plu easi plug use add good sober design.build quality:th build qualiti undoubtedli superb. qualm all. held doesnt give cheap flimsi product-lik feeling. good sturdi build quality.packaging:thi part also big plu item well cushion packag necessari item ensur damag could caus product transportation. ensur custom receiv someth damag intern already.software:thi actual good great part product.th good part cd provid along manual.th great part linux support given version 2 onwards. bad really.speed:it easili support net speed upto 300 mbps. practic speak test home easili support net speed 100-150 mbp without sigh.on test found connect 5ghz network without issue.connectivity:pleas mark feet metres. multipli metr x 3 get distanc feet.it easili connect laptop phone 7 metr across one room. that 21 feet. mean even old bluetooth use connect 15 ft.so 20-25 feet issu this. big plu found product.experience:from point view far except linux non-compat issu found flaw product.so overal great product.warranty:it 3 year assur atleast 3 year tension-fre 1 year contrari electron item today provid 1 year warranti items. best adapt bought ever. work nice seemless connect
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",ambran unbreak 60w / 3a fast charg 1.5m braid micro usb cabl smartphon tablet laptop & micro usb devic 480mbp data sync quick charg 3.0 (rcm15 black) computers&accessori accessories&peripher cables&accessori cabl usbcabl ₹299 4.0 43994 univers compat – compat micro usb enabl devic android smartphon tablet pc peripher micro usb compat device|unbreak – made special braid outer rug interior bind ultra-dur cabl won’t affect daili rough usage|id length – ideal length 1.5 meter neither short like typic 1meter cabl long like 2meter cable|support maximum 3a fast charg 480 mbp data transfer speed|6 month manufactur warranti date purchase. good braid cabl type c devic good qualiti product ambran super cabl good qualiti good product good good qualiti price one issu unit order cabl connect phone android auto car. cabl realli strong connect port realli well made. alreadi micro usb cabl ambran still good shape. connect phone car use cabl got connect well issues. also connect charg port ye fast charg support. qualiti good price main thing ever thought cabl long good one charg power good also support fast charg valu money extra length👍 good work fine product qualiti good good good bought daughter' old phone.brand new cabl charg alreadi repack request replacement.i check green colour paste/fungu insid micro usb connector. clean alcohol start work again.check amper charg speed got around 1400ma-1500ma - bad came braid 1.5m long cabl pretti impress price.can't blame manufacturer.but qualiti issu distributor might store humid place.
