show_id,title,rating,type,tags
s1,Duck the Halls: A Mickey Mouse Christmas Special,TV-G,Movie,duck halls: mickey mous christma special join mickey gang duck halls! anim famili 2016 chrisdiamantopoulo tonyanselmo tressmacneil billfarm russitaylor coreyburton alonsoramirezramo davewasson tv-g movi
s2,Ernest Saves Christmas,PG,Movie,ernest save christma santa clau pass magic bag new st. nic. comedi 1988 jimvarney noellepark douglasseal johncherri pg movi
s3,Ice Age: A Mammoth Christmas,TV-G,Movie,ice age: mammoth christma sid sloth santa' naughti list. anim comedi famili 2011 raymondalbertromano johnleguizamo denisleari queenlatifah karendish tv-g movi
s4,The Queen Family Singalong,TV-PG,Movie,queen famili singalong real life fantasy! music 2021 darrencriss adamlambert derekhough alexanderjean falloutboy jimmieallen hamishhamilton tv-pg movi
s5,The Beatles: Get Back,,TV Show,
s6,Becoming Cousteau,PG-13,Movie,becom cousteau insid look legendari life adventur jacques-yv cousteau. biograph documentari 2021 jacquesyvescousteau vincentcassel lizgarbu pg-13 movi
s7,Hawkeye,TV-14,TV Show,
s8,Port Protection Alaska,TV-14,TV Show,
s9,Secrets of the Zoo: Tampa,TV-PG,TV Show,
s10,A Muppets Christmas: Letters To Santa,G,Movie,muppet christmas: letter santa celebr holiday season favorit muppets. comedi famili music 2008 stevewhitmir davegoelz billbarretta ericjacobson kirkr.thatch g movi
s11,Adventure Thru the Walt Disney Archives,TV-PG,Movie,adventur thru walt disney archiv explor treasur rich histori walt disney archives. documentari 2020 donhahn kathrynbeaumont petedoct kevinfeig markhamil bobig johngleim tv-pg movi
s12,Puppy for Hanukkah,TV-G,Movie,
s13,The Pixar Story,G,Movie,pixar stori groundbreak compani forev chang face filmmaking. documentari famili 2007 stacykeach johnlasset bradbird johnmusk ronclement frankthoma leslieiwerk g movi
s14,"Dr. Oakley, Yukon Vet",TV-PG,TV Show,
s15,America the Beautiful,TV-PG,Movie,
s16,Baymax!,TV-G,Movie,
